left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-642.1573919025562,-1.518986512854021,-642.2125819750878,-14.98462363013587,-642.168701171875,-4.27829647064209
-640.6324614299261,-1.5072603790820467,-640.6818260085107,-14.974621002093837,-640.6426391601562,-4.283890247344971
-639.1100009861607,-1.495472347935388,-639.147603230608,-14.96381461353005,-639.1177978515625,-4.288147449493408
-637.5872517290242,-1.4834163876731066,-637.6128648920005,-14.953666008029256,-637.5925903320312,-4.2910475730896
-636.0649220116513,-1.4722946363997713,-636.0763853268782,-14.943248230256637,-636.0673217773438,-4.2923455238342285
-634.5424878037172,-1.460155736644161,-634.5412914716858,-14.932943779003551,-634.542236328125,-4.292210102081299
-633.0206272557865,-1.4481801651908017,-633.0061729039684,-14.922501645531145,-633.017578125,-4.290574550628662
-631.4979616224074,-1.4359116069599516,-631.474715734714,-14.912136484367043,-631.4930419921875,-4.287944793701172
-629.976567303494,-1.4236919053961055,-629.9385767624346,-14.90158249862028,-629.968505859375,-4.283647537231445
-628.454350093492,-1.4115257707467488,-628.4110013935111,-14.89102216566441,-628.4451293945312,-4.278748512268066
-626.9320758044029,-1.3991453257709914,-626.8839417920215,-14.88065252986932,-626.9218139648438,-4.273309707641602
-625.4090840699072,-1.386786059307564,-625.3578263726852,-14.869535124327754,-625.3981323242188,-4.26751708984375
-623.887765777311,-1.375174798011869,-623.8318302492452,-14.858897574375082,-623.8757934570312,-4.261201858520508
-622.3648801595946,-1.362587954358796,-622.3084748099294,-14.848461473723756,-622.352783203125,-4.254831790924072
-620.8434771932785,-1.3502674685458183,-620.7822455342011,-14.83784252998101,-620.830322265625,-4.247920036315918
-619.321909125453,-1.3378831459103457,-619.2591847951097,-14.82727002481805,-619.3084106445312,-4.240843296051025
-617.7995039447494,-1.325494940715238,-617.7326524129453,-14.816683060614478,-617.7850952148438,-4.23329496383667
-616.2776313033381,-1.3131201707431561,-616.2047468379195,-14.806009421996357,-616.2619018554688,-4.225067138671875
-614.754074643632,-1.3006283778026027,-614.6767391095747,-14.795657966228658,-614.7373657226562,-4.216330528259277
-613.2295998715938,-1.288332710257254,-613.1520691283472,-14.784279343691784,-613.2128295898438,-4.2075724601745605
-611.704971742558,-1.2765336017302644,-611.6259621152667,-14.773628246670503,-611.6878662109375,-4.19864559173584
-610.1799465946908,-1.2640073865971342,-610.0942459852347,-14.762907555851468,-610.161376953125,-4.1889543533325195
-608.6528902800277,-1.2514051001909272,-608.5664978313625,-14.752215876668462,-608.6341552734375,-4.1791815757751465
-607.1255949708922,-1.2386137016270764,-607.0334092309006,-14.741632118844405,-607.1055908203125,-4.168745994567871
-605.5952536310288,-1.226095448103194,-605.5020245414534,-14.730854351846212,-605.5750122070312,-4.158179759979248
-604.0649686416427,-1.2133882048914821,-603.9698729114355,-14.720221738236782,-604.0443115234375,-4.147402763366699
-602.5315236046282,-1.2008945042976755,-602.4387151224344,-14.7095268837059,-602.5113525390625,-4.136870861053467
-600.9982821161709,-1.1882513852064123,-600.9034537278279,-14.698373240811428,-600.9776611328125,-4.126105785369873
-599.4626770628898,-1.1766172331701559,-599.3657139851599,-14.687930127254484,-599.4415893554688,-4.115082263946533
-597.925554176382,-1.1642130977833514,-597.8284029373799,-14.677524546960786,-597.9044189453125,-4.104031085968018
-596.386356637651,-1.15165089315221,-596.2921127895045,-14.667338802915069,-596.3658447265625,-4.0933027267456055
-594.8470519025966,-1.139335114528584,-594.7497406129485,-14.65705317062172,-594.8258666992188,-4.082216739654541
-593.3048243171487,-1.1270416238308107,-593.2108720450613,-14.647001505047015,-593.2843627929688,-4.071504592895508
-591.7625730084842,-1.1149184341717064,-591.6661895671419,-14.636919283685378,-591.7415771484375,-4.060507774353027
-590.2182276686516,-1.1029358210606568,-590.118923438145,-14.627044194487041,-590.1965942382812,-4.049163341522217
-588.6720078036466,-1.0910224944298057,-588.5755937378323,-14.617301655742688,-588.6510009765625,-4.038146495819092
-587.1252721230104,-1.0801651473527083,-587.0256758768153,-14.606914315026886,-587.1035766601562,-4.026752948760986
-585.5755030343481,-1.0684813854987665,-585.4819230778734,-14.59745509477081,-585.5551147460938,-4.016042232513428
-584.0259744475047,-1.0567664338011946,-583.9277632959639,-14.588158323934167,-584.0045776367188,-4.004788398742676
-582.4752730392402,-1.045165766931044,-582.3735951956509,-14.578773964812395,-582.453125,-3.9931323528289795
-580.9231206826584,-1.0335604142829253,-580.8164888369073,-14.569407454130106,-580.89990234375,-3.980896472930908
-579.3693498466349,-1.0221349322716784,-579.2561891231924,-14.559913153404029,-579.3447265625,-3.9678969383239746
