pos_x,pos_y
-366.3037109375,-3.71237850189209
-364.7591552734375,-3.743119239807129
-363.21319580078125,-3.7744810581207275
-361.66717529296875,-3.8064370155334473
-360.1203308105469,-3.8390307426452637
-358.57342529296875,-3.8720297813415527
-357.0255432128906,-3.9047954082489014
-355.4775390625,-3.9377708435058594
-353.928955078125,-3.971350908279419
-352.3797302246094,-4.005184173583984
-350.83001708984375,-4.039748668670654
-349.2802734375,-4.074737071990967
-347.72882080078125,-4.110713005065918
-346.1775817871094,-4.147773742675781
-344.6262512207031,-4.186340808868408
-343.0741271972656,-4.225545406341553
-341.52142333984375,-4.266294479370117
-339.9676208496094,-4.307596206665039
-338.41448974609375,-4.350417137145996
-336.8598937988281,-4.393190860748291
-335.3045654296875,-4.435931205749512
-333.749267578125,-4.480078220367432
-332.19354248046875,-4.5254693031311035
-330.6371765136719,-4.5711140632629395
-329.0798034667969,-4.617300033569336
-327.52166748046875,-4.664181232452393
-325.96295166015625,-4.711543560028076
-324.4034729003906,-4.758924961090088
-322.84405517578125,-4.806471824645996
-321.2838134765625,-4.8551812171936035
-319.7232360839844,-4.904648780822754
-318.161865234375,-4.953498840332031
-316.6617736816406,-5.000639915466309
-315.1609802246094,-5.0480637550354
-313.6609802246094,-5.096639156341553
-312.159912109375,-5.145480632781982
-310.6583557128906,-5.1950507164001465
-309.15802001953125,-5.24595308303833
-307.6571044921875,-5.297557830810547
-306.1553039550781,-5.350451946258545
-304.65411376953125,-5.404049396514893
-303.1531982421875,-5.45851993560791
-301.59356689453125,-5.516811847686768
-300.03973388671875,-5.576709270477295
-298.49273681640625,-5.63720703125
-296.95465087890625,-5.698818683624268
-295.42266845703125,-5.760798931121826
-293.89935302734375,-5.823354244232178
-292.3829040527344,-5.886511325836182
-290.87554931640625,-5.950213432312012
-289.3731994628906,-6.014062404632568
-287.820556640625,-6.08106803894043
-286.2754211425781,-6.1483306884765625
-284.73779296875,-6.2159929275512695
-283.20672607421875,-6.283403396606445
-281.6854248046875,-6.351263046264648
-280.1709289550781,-6.41993522644043
-278.66485595703125,-6.489419937133789
-277.1656494140625,-6.559617519378662
-275.6158752441406,-6.631799697875977
-274.0752868652344,-6.7043938636779785
-272.5417785644531,-6.77752161026001
-271.0169677734375,-6.850654602050781
-269.4989929199219,-6.924910545349121
-267.9896240234375,-6.999411582946777
-266.4860534667969,-7.074183464050293
-264.9374694824219,-7.151766777038574
-263.3955078125,-7.2298383712768555
-261.861572265625,-7.307760715484619
-260.3360595703125,-7.386734962463379
-258.8169250488281,-7.465389728546143
-257.3079833984375,-7.5440993309021
-255.80470275878906,-7.623640060424805
-254.25709533691406,-7.707630634307861
-252.71722412109375,-7.794689655303955
-251.1848602294922,-7.883831977844238
-249.66140747070312,-7.973241329193115
-248.14407348632812,-8.066560745239258
-246.63619995117188,-8.160568237304688
-245.1348114013672,-8.256524085998535
-243.58909606933594,-8.357029914855957
-242.0528106689453,-8.4593505859375
-240.52279663085938,-8.562335968017578
-239.00233459472656,-8.667174339294434
-237.4877471923828,-8.77382755279541
-235.98233032226562,-8.882455825805664
-234.4828338623047,-8.99219799041748
-232.94293212890625,-9.109261512756348
-231.40966796875,-9.227690696716309
-229.88449096679688,-9.349541664123535
-228.36138916015625,-9.473999977111816
-226.8360595703125,-9.602212905883789
-225.33441162109375,-9.731099128723145
-223.79452514648438,-9.86611557006836
-222.2628631591797,-10.002429962158203
-220.74644470214844,-10.139139175415039
-219.23890686035156,-10.27911376953125
-217.7420196533203,-10.420038223266602
-216.20883178710938,-10.56821346282959
-214.68666076660156,-10.718131065368652
-213.17530822753906,-10.87008285522461
-211.67677307128906,-11.024218559265137
-210.14071655273438,-11.18478012084961
-208.61737060546875,-11.34819221496582
-207.1046600341797,-11.514299392700195
-205.60406494140625,-11.68359088897705
-204.11329650878906,-11.856233596801758
-202.5911407470703,-12.038131713867188
-201.07806396484375,-12.222746849060059
-199.57810974121094,-12.410588264465332
-198.08712768554688,-12.600433349609375
-196.5666961669922,-12.79975414276123
-195.05429077148438,-12.999954223632812
-193.55609130859375,-13.200383186340332
-192.06573486328125,-13.401345252990723
-190.54495239257812,-13.607524871826172
-189.0364532470703,-13.815929412841797
-187.5374755859375,-14.023792266845703
-186.05010986328125,-14.232742309570312
-184.53060913085938,-14.447321891784668
-183.023193359375,-14.6624174118042
-181.52694702148438,-14.877471923828125
-180.04039001464844,-15.092597961425781
-178.52471923828125,-15.312457084655762
-177.01943969726562,-15.531789779663086
-175.5242462158203,-15.749303817749023
-174.00189208984375,-15.973450660705566
-172.4891815185547,-16.19908905029297
-170.98789978027344,-16.42656707763672
-169.49725341796875,-16.655330657958984
-167.97900390625,-16.890607833862305
-166.4720001220703,-17.12750816345215
-164.97605895996094,-17.36629867553711
