left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y
-741.4861582516857,-328.0896950942079,-749.9094431883992,-315.2673094296686,-744.9346313476562,-322.8402404785156
-742.805895045657,-328.9186350352316,-751.2274053079345,-316.09750544199954,-746.2366943359375,-323.69549560546875
-744.129786040091,-329.7474007128245,-752.5479504380726,-316.92637795418244,-747.5410766601562,-324.55194091796875
-745.4543908227763,-330.57686203292764,-753.8701879413807,-317.75878055069427,-748.8471069335938,-325.409423828125
-746.7787109459352,-331.40790392883576,-755.1966804864628,-318.59143386752294,-750.154541015625,-326.2681579589844
-748.1058053613616,-332.2383170855721,-756.5236006832909,-319.4268752858649,-751.4634399414062,-327.128173828125
-749.4335748062298,-333.07139236908813,-757.8541033819447,-320.2620961104617,-752.7741088867188,-327.9897766113281
-750.7651753508047,-333.9042253175572,-759.1838443482085,-321.09934401356895,-754.08642578125,-328.8525695800781
-752.0972263073703,-334.73968785074885,-760.516632616853,-321.9352422498998,-755.4002075195312,-329.7164306640625
-753.4322614065321,-335.5738705869213,-761.8504327425593,-322.77423542278433,-756.7156372070312,-330.5815734863281
-754.7671497436327,-336.411358783479,-763.1878610644371,-323.6130400349482,-758.03271484375,-331.4481506347656
-756.1047544924664,-337.2477607023729,-764.5255989900794,-324.45480521296236,-759.35107421875,-332.3159484863281
-757.4436860701231,-338.08768740773,-765.8650560214123,-325.29458742272436,-760.6710815429688,-333.18487548828125
-758.7835972822809,-338.92842430401817,-767.2061193763828,-326.13765114031503,-761.9926147460938,-334.0550842285156
-760.1270970669112,-339.7683828509178,-768.548888340694,-326.98026118499814,-763.3157958984375,-334.9264831542969
-761.470934737925,-340.61162865764555,-769.8917722871909,-327.8257399548253,-764.6405639648438,-335.7989807128906
-762.8178143650496,-341.453728574225,-771.2377420430457,-328.6696991972787,-765.9668579101562,-336.6725158691406
-764.1649665946586,-342.2994343048702,-772.583933297251,-329.51647006795434,-767.2948608398438,-337.5471496582031
-765.5143789681385,-343.1436259741188,-773.934178594684,-330.36313291032684,-768.6243286132812,-338.4230041503906
-766.8639311692862,-343.9900570643166,-775.2853084244504,-331.2134012057353,-769.9551391601562,-339.3001708984375
-768.2169867897786,-344.83556402429,-776.6388392015582,-332.0618993997321,-771.2874145507812,-340.1785583496094
-769.5708470770581,-345.68483588620165,-777.9919764757102,-332.9130477124281,-772.6214599609375,-341.05816650390625
-770.9272042197189,-346.5326277129269,-779.3486932068513,-333.7633870913206,-773.9568481445312,-341.9388732910156
-772.2837712768707,-347.383901412304,-780.705515146512,-334.6164945727965,-775.2937622070312,-342.82073974609375
-773.638055758309,-348.24144147494246,-782.0656441526913,-335.46929700662963,-776.6321411132812,-343.703857421875
-774.9165530322874,-349.2175050652638,-783.4252584021333,-336.32538485311636,-777.971923828125,-344.5881042480469
-776.3636746923196,-349.9410528576616,-784.7887436847002,-337.1791584022929,-779.3130493164062,-345.4734802246094
-777.7278371594058,-350.79453651499347,-786.1521790113585,-338.0353560398742,-780.65576171875,-346.3600158691406
-779.0920069654609,-351.6512385685712,-787.5182535620236,-338.89106330926427,-781.9999389648438,-347.2476501464844
-780.458870988057,-352.50730798969965,-788.8841599375245,-339.7500300480829,-783.3455810546875,-348.1363525390625
-781.8262737321996,-353.36561950599565,-790.2535554245316,-340.60764336006946,-784.6926879882812,-349.02618408203125
-783.1944479452451,-354.2245585626729,-791.6245985752574,-341.46890720016927,-786.0410766601562,-349.9173278808594
-784.5657432031586,-355.08252158987113,-792.9979135350729,-342.3297469692326,-787.390869140625,-350.809814453125
-785.937406576709,-355.94337392651755,-794.3709065167311,-343.1942095756268,-788.7420043945312,-351.7035827636719
-787.3121964653228,-356.8032404725253,-795.7468746312948,-344.0558681844506,-790.0944213867188,-352.59844970703125
-788.686967973084,-357.66658642929195,-797.1245404879064,-344.918418086562,-791.4483032226562,-353.4945373535156
-790.0639016044044,-358.52845580602474,-798.5035650998948,-345.7851608572435,-792.8034057617188,-354.3919982910156
-791.4414555965066,-359.3931977025749,-799.8846086781828,-346.6504818793605,-794.1597290039062,-355.2906799316406
-792.8219501932643,-360.25682788973575,-801.2656421809304,-347.51928188765754,-795.5173950195312,-356.190673828125
-794.2030578833042,-361.12381751901574,-802.6491899319193,-348.3853982338279,-796.87646484375,-357.091796875
-795.5866405215571,-361.9895861528803,-804.0332761106507,-349.25521242475656,-798.23681640625,-357.9941101074219
-796.970036652091,-362.8580022996539,-805.4194321172295,-350.12698247348743,-799.598388671875,-358.89776611328125
-798.3562245035079,-363.72544120062406,-806.8088003867819,-350.9971246049915,-800.961181640625,-359.8027648925781
-799.74223189198,-364.5959486337574,-808.1985921526673,-351.8701202018552,-802.3250732421875,-360.7090759277344
-801.1312677524326,-365.46590544084074,-809.5902765640111,-352.74169480238095,-803.6902465820312,-361.61663818359375
-802.520204891542,-366.33795149327176,-810.9831029668678,-353.6173220881236,-805.0565185546875,-362.5256042480469
-803.9126142749526,-367.20951150593464,-812.3777812569804,-354.4900481988905,-806.4241333007812,-363.435791015625
-805.3060303711213,-368.08163088402887,-813.7731964116945,-355.3661385659327,-807.7927856445312,-364.34716796875
-806.6995210607503,-368.9566423415772,-815.1714463127672,-356.2418146739006,-809.1626586914062,-365.2599182128906
-808.0958252652856,-369.83096305527533,-816.5692647924157,-357.12037939947436,-810.5337524414062,-366.1739501953125
-809.4920885479141,-370.7079059428209,-817.9705048831485,-357.9979135410914,-811.9059448242188,-367.08929443359375
-810.8914557569224,-371.58456538901623,-819.3705138532101,-358.87769472016146,-813.2794799804688,-368.0058288574219
-812.2910130337375,-372.4634981545924,-820.7740180436311,-359.7567611164303,-814.6542358398438,-368.9236145019531
-813.6933268932751,-373.34220437462744,-822.1757042156213,-360.637940216394,-816.0301513671875,-369.84228515625
-815.0961083010078,-374.2224453952956,-823.5787371262412,-361.51933707954686,-817.4070434570312,-370.76171875
-816.5010277938944,-375.10142961033216,-824.983104243573,-362.39745421105243,-818.7844848632812,-371.681396484375
-817.9029604163156,-375.9818646837195,-826.3868688657009,-363.27881275731477,-820.1610717773438,-372.60076904296875
-819.3030636669167,-376.85878686897325,-827.7902291745959,-364.1555549389478,-821.5347290039062,-373.5185241699219
-820.6980862710268,-377.73312444881805,-829.1885645629449,-365.0323723005156,-822.9037475585938,-374.4337158203125
-822.0873778908141,-378.60465125234094,-830.5811893272336,-365.90246606897415,-824.2669067382812,-375.3452453613281
-823.4692248543312,-379.4695725883092,-831.9635177871617,-366.7690454116769,-825.6216430664062,-376.2513122558594
-824.8391875156788,-380.32982021852825,-833.3327111830514,-367.62789777689215,-826.9655151367188,-377.1499328613281
-826.1973457049496,-381.1806256758155,-834.6927555407938,-368.47681187221855,-828.2972412109375,-378.0404968261719
-827.5417979051556,-382.02318519326735,-836.0393472378298,-369.32022353733043,-829.6159057617188,-378.922607421875
-828.8729090119539,-382.8589882400162,-837.3730691618672,-370.1565284000403,-830.922119140625,-379.79669189453125
-830.1930902694709,-383.6853718666676,-838.6916017545366,-370.97927870583055,-832.2154541015625,-380.6617431640625
-831.4981621007543,-384.50304867150976,-839.9948128576063,-371.79566297057767,-833.4946899414062,-381.51708984375
